1,495989
1,728797
2,249057
1,960195
1,680481
1,995651
1,980402
1,707149
2,177719
2,022335
2,164035
2,030469
2,228600
1,919971
2,048442
2,065002
1,905028
2,052357
2,149268
2,078926
1,758972
1,923288
1,878689
2,134485
2,000693
1,876146
1,781822
1,904218
1,725219
2,001111
1,892535
1,911929
1,861510
2,040610
2,012824
1,843057
1,879071
1,957176
2,134382
2,029478
1,969080
1,969195
1,507923
1,890372
1,989766
1,898676
1,900845
1,961433
1,855407
1,812427
1,760373
1,750757
1,709392
1,866230
1,937211
1,869637
2,105517
1,995475
2,012635
1,734103
1,865792
1,967892
1,981961
1,950714
1,858346
2,081882
1,956748
1,753601
1,762125
1,921043
1,929834
1,997404
1,822823
1,756935
1,921897
1,969741
1,878330
1,847740
1,760742
1,660215
1,940219
1,946131
2,095400
1,817645
1,887813
2,093835
1,875403
2,048260
2,230013
1,724594
1,985824
2,196870
2,107230
1,773391
1,795015
2,078301
2,125073
1,794915
2,065027
2,363450
1,891135
1,954212
1,874876
1,949755
1,973312
1,939101
1,959363
2,142309
1,955756
1,943134
1,863590
1,808592
2,273904
1,986743
2,137116
1,992257
1,782026
1,920195
1,748115
1,905204
1,897908
2,016209
1,955937
1,888515
1,920236
2,029338
2,048184
2,132530
2,064537
1,903167
1,737058
1,920303
2,061474
1,987246
2,293851
1,892139
1,638594
2,237559
2,107645
2,192076
2,022304
2,192962
1,943911
1,983620
1,696801
1,958393
1,884161
1,711595
1,904987
1,651377
1,934324
1,958823
2,013253
1,931925
1,862977
2,096090
1,770347
1,900814
1,878106
2,040332
